datetime,msn,location,daily_consumption_load,energy_supplied,energy_billed
01-01-2021 00:00,ACE43B7D,Chennai,2.59,2.78,2.57
01-01-2021 00:15,ACE43B7D,Chennai,1.78,2.12,1.86
01-01-2021 00:30,ACE43B7D,Chennai,2.59,2.68,2.52
01-01-2021 00:45,ACE43B7D,Chennai,2.45,2.56,2.5
01-01-2021 01:00,ACE43B7D,Chennai,1.48,1.56,1.49
01-01-2021 01:15,ACE43B7D,Chennai,1.07,1.19,1.02
01-01-2021 01:30,ACE43B7D,Chennai,3.29,3.71,3.42
01-01-2021 01:45,ACE43B7D,Chennai,2.19,2.59,2.28
01-01-2021 02:00,ACE43B7D,Chennai,2.7,3.01,2.65
01-01-2021 02:15,ACE43B7D,Chennai,3.78,3.76,3.72
01-01-2021 02:30,ACE43B7D,Chennai,1.09,1.13,1.09
01-01-2021 02:45,ACE43B7D,Chennai,1.95,2.22,1.92
01-01-2021 03:00,ACE43B7D,Chennai,0.88,1.01,0.91
01-01-2021 03:15,ACE43B7D,Chennai,0.56,0.58,0.58
01-01-2021 03:30,ACE43B7D,Chennai,0.65,0.69,0.65
01-01-2021 03:45,ACE43B7D,Chennai,2.52,2.7,2.54
01-01-2021 04:00,ACE43B7D,Chennai,2.11,2.39,2.07
01-01-2021 04:15,ACE43B7D,Chennai,0.48,0.51,0.47
01-01-2021 04:30,ACE43B7D,Chennai,0.74,0.85,0.72
01-01-2021 04:45,ACE43B7D,Chennai,3.98,4.53,4.04
01-01-2021 05:00,ACE43B7D,Chennai,4.01,4.44,3.97
01-01-2021 05:15,ACE43B7D,Chennai,1.91,1.98,1.88
01-01-2021 05:30,ACE43B7D,Chennai,4.34,4.91,4.35
01-01-2021 05:45,ACE43B7D,Chennai,0.69,0.74,0.66
01-01-2021 06:00,ACE43B7D,Chennai,1.3,1.53,1.35
01-01-2021 06:15,ACE43B7D,Chennai,1.2,1.26,1.25
01-01-2021 06:30,ACE43B7D,Chennai,2.78,2.9,2.8
01-01-2021 06:45,ACE43B7D,Chennai,1.36,1.56,1.43
01-01-2021 07:00,ACE43B7D,Chennai,4.42,4.76,4.64
01-01-2021 07:15,ACE43B7D,Chennai,1.12,1.19,1.16
01-01-2021 07:30,ACE43B7D,Chennai,0.48,0.52,0.47
01-01-2021 07:45,ACE43B7D,Chennai,2,2.09,1.94
01-01-2021 08:00,ACE43B7D,Chennai,3.56,4.17,3.67
01-01-2021 08:15,ACE43B7D,Chennai,2.32,2.72,2.38
01-01-2021 08:30,ACE43B7D,Chennai,2.85,3.37,2.95
01-01-2021 08:45,ACE43B7D,Chennai,2.64,2.81,2.57
01-01-2021 09:00,ACE43B7D,Chennai,2.76,2.9,2.88
01-01-2021 09:15,ACE43B7D,Chennai,4.01,3.91,3.9
01-01-2021 09:30,ACE43B7D,Chennai,2.27,2.4,2.25
01-01-2021 09:45,ACE43B7D,Chennai,1.1,1.2,1.09
01-01-2021 10:00,ACE43B7D,Chennai,3.96,4.01,3.94
01-01-2021 10:15,ACE43B7D,Chennai,2.49,2.7,2.6
01-01-2021 10:30,ACE43B7D,Chennai,1.19,1.35,1.17
01-01-2021 10:45,ACE43B7D,Chennai,0.81,0.93,0.84
01-01-2021 11:00,ACE43B7D,Chennai,1.27,1.34,1.28
01-01-2021 11:15,ACE43B7D,Chennai,1.14,1.23,1.12
01-01-2021 11:30,ACE43B7D,Chennai,2.26,2.7,2.38
01-01-2021 11:45,ACE43B7D,Chennai,4.02,4.11,4.06
01-01-2021 12:00,ACE43B7D,Chennai,3.69,4.13,3.66
01-01-2021 12:15,ACE43B7D,Chennai,0.72,0.85,0.73
01-01-2021 12:30,ACE43B7D,Chennai,1.47,1.48,1.43
01-01-2021 12:45,ACE43B7D,Chennai,3.72,3.84,3.67
01-01-2021 13:00,ACE43B7D,Chennai,2.65,2.92,2.54
01-01-2021 13:15,ACE43B7D,Chennai,2.4,2.4,2.31
01-01-2021 13:30,ACE43B7D,Chennai,3.7,4.12,3.75
01-01-2021 13:45,ACE43B7D,Chennai,3.58,3.93,3.5
01-01-2021 14:00,ACE43B7D,Chennai,3.75,4.14,3.94
01-01-2021 14:15,ACE43B7D,Chennai,3.89,4.27,3.83
01-01-2021 14:30,ACE43B7D,Chennai,1.33,1.38,1.36
01-01-2021 14:45,ACE43B7D,Chennai,3.32,3.19,3.18
01-01-2021 15:00,ACE43B7D,Chennai,2.28,2.6,2.27
01-01-2021 15:15,ACE43B7D,Chennai,3.07,3.39,2.93
01-01-2021 15:30,ACE43B7D,Chennai,2.25,2.54,2.2
01-01-2021 15:45,ACE43B7D,Chennai,1.1,1.16,1.11
01-01-2021 16:00,ACE43B7D,Chennai,2.88,2.91,2.85
01-01-2021 16:15,ACE43B7D,Chennai,4.11,4.45,4.26
01-01-2021 16:30,ACE43B7D,Chennai,3.33,3.4,3.29
01-01-2021 16:45,ACE43B7D,Chennai,3.34,3.81,3.27
01-01-2021 17:00,ACE43B7D,Chennai,1.26,1.21,1.21
01-01-2021 17:15,ACE43B7D,Chennai,2.93,3.23,3.03
01-01-2021 17:30,ACE43B7D,Chennai,2.22,2.36,2.28
01-01-2021 17:45,ACE43B7D,Chennai,3.07,3.06,2.98
01-01-2021 18:00,ACE43B7D,Chennai,0.84,0.98,0.85
01-01-2021 18:15,ACE43B7D,Chennai,0.6,0.69,0.6
01-01-2021 18:30,ACE43B7D,Chennai,0.84,0.9,0.8
01-01-2021 18:45,ACE43B7D,Chennai,1.89,2.02,1.88
01-01-2021 19:00,ACE43B7D,Chennai,2.06,2.12,2.1
01-01-2021 19:15,ACE43B7D,Chennai,1.71,2.04,1.74
01-01-2021 19:30,ACE43B7D,Chennai,1.01,1.15,0.99
01-01-2021 19:45,ACE43B7D,Chennai,2.01,2.27,1.98
01-01-2021 20:00,ACE43B7D,Chennai,1.35,1.4,1.36
01-01-2021 20:15,ACE43B7D,Chennai,2.74,3.27,2.78
01-01-2021 20:30,ACE43B7D,Chennai,0.71,0.75,0.7
01-01-2021 20:45,ACE43B7D,Chennai,2.83,2.92,2.8
01-01-2021 21:00,ACE43B7D,Chennai,3.18,3.47,3.13
01-01-2021 21:15,ACE43B7D,Chennai,1.55,1.55,1.48
01-01-2021 21:30,ACE43B7D,Chennai,2.65,2.73,2.67
01-01-2021 21:45,ACE43B7D,Chennai,3.98,4.12,3.94
01-01-2021 22:00,ACE43B7D,Chennai,1.3,1.33,1.24
01-01-2021 22:15,ACE43B7D,Chennai,2.09,2.13,2.03
01-01-2021 22:30,ACE43B7D,Chennai,3.56,4.07,3.46
01-01-2021 22:45,ACE43B7D,Chennai,3.27,3.63,3.3
01-01-2021 23:00,ACE43B7D,Chennai,4.05,4.28,4.09
01-01-2021 23:15,ACE43B7D,Chennai,1.01,1.22,1.06
01-01-2021 23:30,ACE43B7D,Chennai,1.42,1.58,1.49
01-01-2021 23:45,ACE43B7D,Chennai,1.45,1.53,1.39
02-01-2021 00:00,ACE43B7D,Chennai,3.64,3.75,3.63
02-01-2021 00:15,ACE43B7D,Chennai,3.3,3.86,3.47
02-01-2021 00:30,ACE43B7D,Chennai,3.54,3.9,3.42
02-01-2021 00:45,ACE43B7D,Chennai,2,2.15,2.07
02-01-2021 01:00,ACE43B7D,Chennai,3,3.47,3.1
02-01-2021 01:15,ACE43B7D,Chennai,1.64,1.91,1.71
02-01-2021 01:30,ACE43B7D,Chennai,4.48,4.44,4.31
02-01-2021 01:45,ACE43B7D,Chennai,4.35,4.99,4.27
02-01-2021 02:00,ACE43B7D,Chennai,4.75,4.89,4.71
02-01-2021 02:15,ACE43B7D,Chennai,3.03,3.45,3.04
02-01-2021 02:30,ACE43B7D,Chennai,3.31,3.41,3.35
02-01-2021 02:45,ACE43B7D,Chennai,1.27,1.35,1.22
02-01-2021 03:00,ACE43B7D,Chennai,3.76,3.82,3.78
02-01-2021 03:15,ACE43B7D,Chennai,2.14,2.36,2.06
02-01-2021 03:30,ACE43B7D,Chennai,2.05,2.09,2.04
02-01-2021 03:45,ACE43B7D,Chennai,3.06,3.55,3.16
02-01-2021 04:00,ACE43B7D,Chennai,0.63,0.65,0.6
02-01-2021 04:15,ACE43B7D,Chennai,3.23,3.42,3.09
02-01-2021 04:30,ACE43B7D,Chennai,3.58,3.92,3.55
02-01-2021 04:45,ACE43B7D,Chennai,4.47,4.73,4.47
02-01-2021 05:00,ACE43B7D,Chennai,1.08,1.1,1.05
02-01-2021 05:15,ACE43B7D,Chennai,1.52,1.58,1.47
02-01-2021 05:30,ACE43B7D,Chennai,1.35,1.39,1.3
02-01-2021 05:45,ACE43B7D,Chennai,1,1.1,1.03
02-01-2021 06:00,ACE43B7D,Chennai,0.87,0.92,0.85
02-01-2021 06:15,ACE43B7D,Chennai,2.03,2.06,2.02
02-01-2021 06:30,ACE43B7D,Chennai,4.01,4.17,4.1
02-01-2021 06:45,ACE43B7D,Chennai,3.19,3.31,3.16
02-01-2021 07:00,ACE43B7D,Chennai,3.75,4.22,3.73
02-01-2021 07:15,ACE43B7D,Chennai,3.42,3.82,3.29
02-01-2021 07:30,ACE43B7D,Chennai,0.61,0.61,0.59
02-01-2021 07:45,ACE43B7D,Chennai,4.02,4.23,4.2
02-01-2021 08:00,ACE43B7D,Chennai,3.44,3.83,3.46
02-01-2021 08:15,ACE43B7D,Chennai,3.03,3.44,2.93
02-01-2021 08:30,ACE43B7D,Chennai,0.69,0.72,0.69
02-01-2021 08:45,ACE43B7D,Chennai,1.11,1.3,1.16
02-01-2021 09:00,ACE43B7D,Chennai,0.92,0.99,0.95
02-01-2021 09:15,ACE43B7D,Chennai,3.83,4.1,3.69
