datetime,msn,location,daily_consumption_load,energy_supplied,energy_billed,Temperature (deg_C),,,,
01-01-2021 00:00,ACE43B7D,Chennai,2.59,2.78,2.57,13,,,ACE43B7D,Chennai
01-01-2021 00:15,ACE43B7D,Chennai,1.78,2.12,1.86,11,,,7F6ACD62,Delhi
01-01-2021 00:30,ACE43B7D,Chennai,2.59,2.68,2.52,16,,,0653DAA9,Bengaluru
01-01-2021 00:45,ACE43B7D,Chennai,2.45,2.56,2.5,11,,,344684B5,Kolkata
01-01-2021 01:00,ACE43B7D,Chennai,1.48,1.56,1.49,10,,,3F42A75F,Mumbai
01-01-2021 01:15,ACE43B7D,Chennai,1.07,1.19,1.02,32,,,,
01-01-2021 01:30,ACE43B7D,Chennai,3.29,3.71,3.42,17,,,,
01-01-2021 01:45,ACE43B7D,Chennai,2.19,2.59,2.28,40,,,,
01-01-2021 02:00,ACE43B7D,Chennai,2.7,3.01,2.65,26,,,,
01-01-2021 02:15,ACE43B7D,Chennai,3.78,3.76,3.72,12,,,,
01-01-2021 02:30,ACE43B7D,Chennai,1.09,1.13,1.09,16,,,,
01-01-2021 02:45,ACE43B7D,Chennai,1.95,2.22,1.92,37,,,,
01-01-2021 03:00,ACE43B7D,Chennai,0.88,1.01,0.91,33,,,,
01-01-2021 03:15,ACE43B7D,Chennai,0.56,0.58,0.58,26,,,,
01-01-2021 03:30,ACE43B7D,Chennai,0.65,0.69,0.65,40,,,,
01-01-2021 03:45,ACE43B7D,Chennai,2.52,2.7,2.54,19,,,,
01-01-2021 04:00,ACE43B7D,Chennai,2.11,2.39,2.07,34,,,,
01-01-2021 04:15,ACE43B7D,Chennai,0.48,0.51,0.47,17,,,,
01-01-2021 04:30,ACE43B7D,Chennai,0.74,0.85,0.72,29,,,,
01-01-2021 04:45,ACE43B7D,Chennai,3.98,4.53,4.04,36,,,,
01-01-2021 05:00,ACE43B7D,Chennai,4.01,4.44,3.97,27,,,,
01-01-2021 05:15,ACE43B7D,Chennai,1.91,1.98,1.88,39,,,,
01-01-2021 05:30,ACE43B7D,Chennai,4.34,4.91,4.35,16,,,,
01-01-2021 05:45,ACE43B7D,Chennai,0.69,0.74,0.66,12,,,,
01-01-2021 06:00,ACE43B7D,Chennai,1.3,1.53,1.35,23,,,,
01-01-2021 06:15,ACE43B7D,Chennai,1.2,1.26,1.25,18,,,,
01-01-2021 06:30,ACE43B7D,Chennai,2.78,2.9,2.8,18,,,,
01-01-2021 06:45,ACE43B7D,Chennai,1.36,1.56,1.43,28,,,,
01-01-2021 07:00,ACE43B7D,Chennai,4.42,4.76,4.64,17,,,,
01-01-2021 07:15,ACE43B7D,Chennai,1.12,1.19,1.16,10,,,,
01-01-2021 07:30,ACE43B7D,Chennai,0.48,0.52,0.47,29,,,,
01-01-2021 07:45,ACE43B7D,Chennai,2,2.09,1.94,21,,,,
01-01-2021 08:00,ACE43B7D,Chennai,3.56,4.17,3.67,31,,,,
01-01-2021 08:15,ACE43B7D,Chennai,2.32,2.72,2.38,23,,,,
01-01-2021 08:30,ACE43B7D,Chennai,2.85,3.37,2.95,26,,,,
01-01-2021 08:45,ACE43B7D,Chennai,2.64,2.81,2.57,34,,,,
01-01-2021 09:00,ACE43B7D,Chennai,2.76,2.9,2.88,14,,,,
01-01-2021 09:15,ACE43B7D,Chennai,4.01,3.91,3.9,35,,,,
01-01-2021 09:30,ACE43B7D,Chennai,2.27,2.4,2.25,16,,,,
01-01-2021 09:45,ACE43B7D,Chennai,1.1,1.2,1.09,28,,,,
01-01-2021 10:00,ACE43B7D,Chennai,3.96,4.01,3.94,15,,,,
01-01-2021 10:15,ACE43B7D,Chennai,2.49,2.7,2.6,22,,,,
01-01-2021 10:30,ACE43B7D,Chennai,1.19,1.35,1.17,33,,,,
01-01-2021 10:45,ACE43B7D,Chennai,0.81,0.93,0.84,19,,,,
01-01-2021 11:00,ACE43B7D,Chennai,1.27,1.34,1.28,36,,,,
01-01-2021 11:15,ACE43B7D,Chennai,1.14,1.23,1.12,12,,,,
01-01-2021 11:30,ACE43B7D,Chennai,2.26,2.7,2.38,33,,,,
01-01-2021 11:45,ACE43B7D,Chennai,4.02,4.11,4.06,13,,,,
01-01-2021 12:00,ACE43B7D,Chennai,3.69,4.13,3.66,16,,,,
01-01-2021 12:15,ACE43B7D,Chennai,0.72,0.85,0.73,33,,,,
01-01-2021 12:30,ACE43B7D,Chennai,1.47,1.48,1.43,34,,,,
01-01-2021 12:45,ACE43B7D,Chennai,3.72,3.84,3.67,11,,,,
01-01-2021 13:00,ACE43B7D,Chennai,2.65,2.92,2.54,17,,,,
01-01-2021 13:15,ACE43B7D,Chennai,2.4,2.4,2.31,32,,,,
01-01-2021 13:30,ACE43B7D,Chennai,3.7,4.12,3.75,12,,,,
01-01-2021 13:45,ACE43B7D,Chennai,3.58,3.93,3.5,27,,,,
01-01-2021 14:00,ACE43B7D,Chennai,3.75,4.14,3.94,40,,,,
01-01-2021 14:15,ACE43B7D,Chennai,3.89,4.27,3.83,28,,,,
01-01-2021 14:30,ACE43B7D,Chennai,1.33,1.38,1.36,27,,,,
01-01-2021 14:45,ACE43B7D,Chennai,3.32,3.19,3.18,35,,,,
01-01-2021 15:00,ACE43B7D,Chennai,2.28,2.6,2.27,12,,,,
01-01-2021 15:15,ACE43B7D,Chennai,3.07,3.39,2.93,10,,,,
01-01-2021 15:30,ACE43B7D,Chennai,2.25,2.54,2.2,21,,,,
01-01-2021 15:45,ACE43B7D,Chennai,1.1,1.16,1.11,38,,,,
01-01-2021 16:00,ACE43B7D,Chennai,2.88,2.91,2.85,38,,,,
01-01-2021 16:15,ACE43B7D,Chennai,4.11,4.45,4.26,31,,,,
01-01-2021 16:30,ACE43B7D,Chennai,3.33,3.4,3.29,29,,,,
01-01-2021 16:45,ACE43B7D,Chennai,3.34,3.81,3.27,10,,,,
01-01-2021 17:00,ACE43B7D,Chennai,1.26,1.21,1.21,34,,,,
01-01-2021 17:15,ACE43B7D,Chennai,2.93,3.23,3.03,40,,,,
01-01-2021 17:30,ACE43B7D,Chennai,2.22,2.36,2.28,14,,,,
01-01-2021 17:45,ACE43B7D,Chennai,3.07,3.06,2.98,20,,,,
01-01-2021 18:00,ACE43B7D,Chennai,0.84,0.98,0.85,20,,,,
01-01-2021 18:15,ACE43B7D,Chennai,0.6,0.69,0.6,20,,,,
01-01-2021 18:30,ACE43B7D,Chennai,0.84,0.9,0.8,23,,,,
01-01-2021 18:45,ACE43B7D,Chennai,1.89,2.02,1.88,33,,,,
01-01-2021 19:00,ACE43B7D,Chennai,2.06,2.12,2.1,12,,,,
01-01-2021 19:15,ACE43B7D,Chennai,1.71,2.04,1.74,18,,,,
01-01-2021 19:30,ACE43B7D,Chennai,1.01,1.15,0.99,31,,,,
01-01-2021 19:45,ACE43B7D,Chennai,2.01,2.27,1.98,21,,,,
01-01-2021 20:00,ACE43B7D,Chennai,1.35,1.4,1.36,15,,,,
01-01-2021 20:15,ACE43B7D,Chennai,2.74,3.27,2.78,24,,,,
01-01-2021 20:30,ACE43B7D,Chennai,0.71,0.75,0.7,24,,,,
01-01-2021 20:45,ACE43B7D,Chennai,2.83,2.92,2.8,38,,,,
01-01-2021 21:00,ACE43B7D,Chennai,3.18,3.47,3.13,18,,,,
01-01-2021 21:15,ACE43B7D,Chennai,1.55,1.55,1.48,20,,,,
01-01-2021 21:30,ACE43B7D,Chennai,2.65,2.73,2.67,33,,,,
01-01-2021 21:45,ACE43B7D,Chennai,3.98,4.12,3.94,19,,,,
01-01-2021 22:00,ACE43B7D,Chennai,1.3,1.33,1.24,34,,,,
01-01-2021 22:15,ACE43B7D,Chennai,2.09,2.13,2.03,11,,,,
01-01-2021 22:30,ACE43B7D,Chennai,3.56,4.07,3.46,37,,,,
01-01-2021 22:45,ACE43B7D,Chennai,3.27,3.63,3.3,17,,,,
01-01-2021 23:00,ACE43B7D,Chennai,4.05,4.28,4.09,17,,,,
01-01-2021 23:15,ACE43B7D,Chennai,1.01,1.22,1.06,29,,,,
01-01-2021 23:30,ACE43B7D,Chennai,1.42,1.58,1.49,28,,,,
01-01-2021 23:45,ACE43B7D,Chennai,1.45,1.53,1.39,21,,,,
02-01-2021 00:00,ACE43B7D,Chennai,3.64,3.75,3.63,35,,,,
02-01-2021 00:15,ACE43B7D,Chennai,3.3,3.86,3.47,22,,,,
02-01-2021 00:30,ACE43B7D,Chennai,3.54,3.9,3.42,30,,,,
02-01-2021 00:45,ACE43B7D,Chennai,2,2.15,2.07,25,,,,
02-01-2021 01:00,ACE43B7D,Chennai,3,3.47,3.1,12,,,,
02-01-2021 01:15,ACE43B7D,Chennai,1.64,1.91,1.71,21,,,,
02-01-2021 01:30,ACE43B7D,Chennai,4.48,4.44,4.31,33,,,,
02-01-2021 01:45,ACE43B7D,Chennai,4.35,4.99,4.27,28,,,,
02-01-2021 02:00,ACE43B7D,Chennai,4.75,4.89,4.71,18,,,,
02-01-2021 02:15,ACE43B7D,Chennai,3.03,3.45,3.04,22,,,,
02-01-2021 02:30,ACE43B7D,Chennai,3.31,3.41,3.35,19,,,,
02-01-2021 02:45,ACE43B7D,Chennai,1.27,1.35,1.22,19,,,,
02-01-2021 03:00,ACE43B7D,Chennai,3.76,3.82,3.78,26,,,,
02-01-2021 03:15,ACE43B7D,Chennai,2.14,2.36,2.06,32,,,,
02-01-2021 03:30,ACE43B7D,Chennai,2.05,2.09,2.04,16,,,,
02-01-2021 03:45,ACE43B7D,Chennai,3.06,3.55,3.16,27,,,,
02-01-2021 04:00,ACE43B7D,Chennai,0.63,0.65,0.6,30,,,,
02-01-2021 04:15,ACE43B7D,Chennai,3.23,3.42,3.09,34,,,,
02-01-2021 04:30,ACE43B7D,Chennai,3.58,3.92,3.55,16,,,,
02-01-2021 04:45,ACE43B7D,Chennai,4.47,4.73,4.47,27,,,,
02-01-2021 05:00,ACE43B7D,Chennai,1.08,1.1,1.05,20,,,,
02-01-2021 05:15,ACE43B7D,Chennai,1.52,1.58,1.47,23,,,,
02-01-2021 05:30,ACE43B7D,Chennai,1.35,1.39,1.3,34,,,,
02-01-2021 05:45,ACE43B7D,Chennai,1,1.1,1.03,13,,,,
02-01-2021 06:00,ACE43B7D,Chennai,0.87,0.92,0.85,25,,,,
02-01-2021 06:15,ACE43B7D,Chennai,2.03,2.06,2.02,20,,,,
02-01-2021 06:30,ACE43B7D,Chennai,4.01,4.17,4.1,34,,,,
02-01-2021 06:45,ACE43B7D,Chennai,3.19,3.31,3.16,37,,,,
02-01-2021 07:00,ACE43B7D,Chennai,3.75,4.22,3.73,39,,,,
02-01-2021 07:15,ACE43B7D,Chennai,3.42,3.82,3.29,25,,,,
02-01-2021 07:30,ACE43B7D,Chennai,0.61,0.61,0.59,27,,,,
02-01-2021 07:45,ACE43B7D,Chennai,4.02,4.23,4.2,31,,,,
02-01-2021 08:00,ACE43B7D,Chennai,3.44,3.83,3.46,25,,,,
02-01-2021 08:15,ACE43B7D,Chennai,3.03,3.44,2.93,40,,,,
02-01-2021 08:30,ACE43B7D,Chennai,0.69,0.72,0.69,36,,,,
02-01-2021 08:45,ACE43B7D,Chennai,1.11,1.3,1.16,17,,,,
02-01-2021 09:00,ACE43B7D,Chennai,0.92,0.99,0.95,19,,,,
02-01-2021 09:15,ACE43B7D,Chennai,3.83,4.1,3.69,25,,,,
02-01-2021 09:30,ACE43B7D,Chennai,3.92,4.07,3.74,24,,,,
02-01-2021 09:45,ACE43B7D,Chennai,3.53,3.55,3.43,34,,,,
02-01-2021 10:00,ACE43B7D,Chennai,3.7,4.32,3.73,39,,,,
02-01-2021 10:15,ACE43B7D,Chennai,1.25,1.4,1.31,33,,,,
02-01-2021 10:30,ACE43B7D,Chennai,4.38,4.72,4.59,31,,,,
02-01-2021 10:45,ACE43B7D,Chennai,3.26,3.43,3.12,35,,,,
02-01-2021 11:00,ACE43B7D,Chennai,3.78,3.98,3.62,10,,,,
02-01-2021 11:15,ACE43B7D,Chennai,3.53,4.15,3.62,35,,,,
02-01-2021 11:30,ACE43B7D,Chennai,2.75,3.09,2.83,17,,,,
02-01-2021 11:45,ACE43B7D,Chennai,3.35,3.85,3.53,37,,,,
02-01-2021 12:00,ACE43B7D,Chennai,4.27,4.93,4.25,16,,,,
02-01-2021 12:15,ACE43B7D,Chennai,0.45,0.51,0.46,36,,,,
02-01-2021 12:30,ACE43B7D,Chennai,4.1,4.44,4.17,34,,,,
02-01-2021 12:45,ACE43B7D,Chennai,4.56,4.8,4.5,37,,,,
02-01-2021 13:00,ACE43B7D,Chennai,0.94,1.06,0.9,35,,,,
02-01-2021 13:15,ACE43B7D,Chennai,1.8,1.92,1.8,28,,,,
02-01-2021 13:30,ACE43B7D,Chennai,4.23,4.46,4.09,11,,,,
02-01-2021 13:45,ACE43B7D,Chennai,2.21,2.52,2.16,33,,,,
02-01-2021 14:00,ACE43B7D,Chennai,2.81,2.83,2.71,32,,,,
02-01-2021 14:15,ACE43B7D,Chennai,2.71,2.91,2.64,12,,,,
02-01-2021 14:30,ACE43B7D,Chennai,2.13,2.18,2.18,24,,,,
02-01-2021 14:45,ACE43B7D,Chennai,1,1.15,1,22,,,,
02-01-2021 15:00,ACE43B7D,Chennai,2.18,2.5,2.22,21,,,,
02-01-2021 15:15,ACE43B7D,Chennai,1.62,1.71,1.65,25,,,,
02-01-2021 15:30,ACE43B7D,Chennai,2.97,3.12,3.1,20,,,,
02-01-2021 15:45,ACE43B7D,Chennai,1.67,1.96,1.73,33,,,,
02-01-2021 16:00,ACE43B7D,Chennai,3.14,3.32,3.05,23,,,,
02-01-2021 16:15,ACE43B7D,Chennai,0.71,0.8,0.7,31,,,,
02-01-2021 16:30,ACE43B7D,Chennai,3.48,3.6,3.38,36,,,,
02-01-2021 16:45,ACE43B7D,Chennai,3.18,3.43,3.22,15,,,,
02-01-2021 17:00,ACE43B7D,Chennai,1.37,1.67,1.42,12,,,,
02-01-2021 17:15,ACE43B7D,Chennai,2.96,3.37,2.88,20,,,,
02-01-2021 17:30,ACE43B7D,Chennai,3.5,3.45,3.43,40,,,,
02-01-2021 17:45,ACE43B7D,Chennai,4.55,4.87,4.56,40,,,,
